"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2025","15,737.00","15,870.00","15,875.00","15,653.00","","-1.88%"
"01/21/2025","16,038.00","15,996.00","16,102.00","15,965.00","","0.17%"
"01/20/2025","16,010.00","15,900.00","16,100.00","15,790.00","","-0.17%"
"01/17/2025","16,038.00","15,897.00","16,080.00","15,872.00","","0.80%"
"01/16/2025","15,910.00","15,785.00","15,947.00","15,762.00","","0.75%"
"01/15/2025","15,792.00","15,845.00","15,892.00","15,765.00","","-0.74%"
"01/14/2025","15,910.00","15,773.00","15,932.00","15,745.00","","0.35%"
"01/13/2025","15,855.00","15,655.00","15,888.00","15,653.00","","1.52%"
"01/10/2025","15,618.00","15,476.00","15,637.00","15,440.00","","0.99%"
"01/09/2025","15,465.00","15,342.00","15,475.00","15,310.00","","0.32%"
"01/08/2025","15,415.00","15,402.00","15,443.00","15,280.00","","0.23%"
"01/07/2025","15,380.00","15,155.00","15,387.50","15,152.00","","1.19%"
"01/06/2025","15,199.00","14,937.00","15,331.00","14,934.00","","0.41%"
"01/03/2025","15,137.00","15,020.00","15,137.00","14,873.00","","0.72%"
"01/02/2025","15,029.00","15,317.00","15,343.00","15,028.00","","-1.72%"
