"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","6,845.50","6,898.82","6,901.42","6,844.55","","-0.74%"
"12/30/2025","6,896.24","6,900.44","6,913.25","6,893.47","","-0.14%"
"12/29/2025","6,905.74","6,903.60","6,920.21","6,888.76","","-0.35%"
"12/26/2025","6,929.94","6,936.02","6,945.77","6,921.60","","-0.03%"
"12/24/2025","6,932.05","6,904.91","6,937.32","6,904.91","","0.32%"
"12/23/2025","6,909.79","6,872.41","6,910.88","6,868.81","","0.46%"
"12/22/2025","6,878.49","6,865.21","6,882.03","6,855.74","","0.64%"
"12/19/2025","6,834.50","6,792.62","6,840.02","6,792.62","","0.88%"
"12/18/2025","6,774.76","6,778.06","6,816.13","6,758.50","","0.79%"
"12/17/2025","6,721.43","6,802.88","6,812.26","6,720.43","","-1.16%"
"12/16/2025","6,800.26","6,800.12","6,819.27","6,759.74","","-0.24%"
"12/15/2025","6,816.51","6,860.19","6,861.59","6,801.49","","-0.16%"
"12/12/2025","6,827.41","6,886.85","6,899.85","6,801.79","","-1.07%"
"12/11/2025","6,901.00","6,861.30","6,903.46","6,833.45","","0.21%"
"12/10/2025","6,886.68","6,833.49","6,900.67","6,824.69","","0.67%"
"12/09/2025","6,840.51","6,840.61","6,864.92","6,837.43","","-0.09%"
"12/08/2025","6,846.51","6,875.20","6,878.27","6,827.19","","-0.35%"
"12/05/2025","6,870.40","6,866.32","6,895.78","6,858.29","","0.19%"
"12/04/2025","6,857.12","6,866.47","6,866.47","6,827.12","","0.11%"
"12/03/2025","6,849.72","6,815.29","6,862.42","6,810.43","","0.30%"
"12/02/2025","6,829.37","6,830.96","6,851.55","6,806.71","","0.25%"
"12/01/2025","6,812.63","6,812.30","6,843.65","6,799.94","","-0.53%"
"11/28/2025","6,849.09","6,822.52","6,850.86","6,819.75","","0.54%"
"11/26/2025","6,812.61","6,793.55","6,831.44","6,783.87","","0.69%"
"11/25/2025","6,765.88","6,697.03","6,776.40","6,659.98","","0.91%"
"11/24/2025","6,705.12","6,636.54","6,715.75","6,630.70","","1.55%"
"11/21/2025","6,602.99","6,555.77","6,660.05","6,521.92","","0.98%"
"11/20/2025","6,538.76","6,737.93","6,770.35","6,534.05","","-1.56%"
"11/19/2025","6,642.16","6,625.84","6,689.75","6,603.50","","0.38%"
"11/18/2025","6,617.32","6,641.19","6,666.63","6,574.32","","-0.83%"
"11/17/2025","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"11/14/2025","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"11/13/2025","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"11/12/2025","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"11/11/2025","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"11/10/2025","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
