"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","2,005.18","2,017.03","2,022.18","2,000.10","","-0.51%"
"12/30/2025","2,015.43","2,009.07","2,030.55","2,008.93","","0.37%"
"12/29/2025","2,007.98","2,004.25","2,029.30","1,991.78","","0.46%"
"12/24/2025","1,998.78","1,987.89","2,003.90","1,987.89","","0.60%"
"12/23/2025","1,986.95","1,970.95","1,998.03","1,970.95","","0.81%"
"12/22/2025","1,970.98","1,985.80","1,989.60","1,969.18","","-0.80%"
"12/19/2025","1,986.88","1,963.85","1,992.53","1,963.00","","1.31%"
"12/18/2025","1,961.18","1,958.69","1,967.03","1,954.23","","0.10%"
"12/17/2025","1,959.18","1,942.23","1,967.48","1,939.50","","0.76%"
"12/16/2025","1,944.38","1,943.53","1,952.08","1,940.73","","-0.12%"
"12/15/2025","1,946.78","1,968.40","1,974.30","1,939.78","","-1.16%"
"12/12/2025","1,969.53","1,983.02","1,987.80","1,966.78","","-0.80%"
"12/11/2025","1,985.48","1,981.70","1,995.45","1,981.58","","0.31%"
"12/10/2025","1,979.43","1,982.10","1,989.10","1,978.45","","0.08%"
"12/09/2025","1,977.83","2,003.05","2,004.15","1,975.43","","-1.03%"
"12/08/2025","1,998.43","2,007.95","2,016.90","1,997.18","","-0.35%"
"12/05/2025","2,005.43","2,016.10","2,024.63","2,001.18","","-0.50%"
"12/04/2025","2,015.48","2,002.05","2,020.98","1,997.73","","0.74%"
"12/03/2025","2,000.58","1,998.50","2,009.93","1,996.98","","0.18%"
"12/02/2025","1,996.98","1,997.93","2,010.43","1,993.80","","-0.22%"
"12/01/2025","2,001.48","1,986.10","2,007.53","1,975.83","","1.07%"
"11/28/2025","1,980.38","1,983.59","1,997.58","1,979.28","","-0.23%"
"11/27/2025","1,985.03","1,978.24","1,988.53","1,974.85","","0.51%"
"11/26/2025","1,975.03","1,984.80","1,990.23","1,975.03","","-0.33%"
"11/25/2025","1,981.58","1,990.15","1,994.88","1,979.98","","-0.19%"
"11/24/2025","1,985.38","1,993.00","1,999.65","1,982.98","","-0.26%"
"11/21/2025","1,990.48","2,008.70","2,015.40","1,988.18","","-1.05%"
"11/20/2025","2,011.63","2,017.27","2,024.80","2,008.28","","-0.27%"
"11/19/2025","2,017.13","2,023.58","2,029.50","2,017.13","","-0.43%"
"11/18/2025","2,025.78","2,037.17","2,044.73","2,023.58","","-0.82%"
"11/17/2025","2,042.43","2,063.90","2,064.90","2,036.48","","-1.32%"
"11/14/2025","2,069.73","2,074.22","2,082.50","2,062.48","","-0.35%"
"11/13/2025","2,076.93","2,089.19","2,095.65","2,075.98","","-0.80%"
"11/12/2025","2,093.68","2,066.80","2,098.82","2,064.15","","1.40%"
"11/11/2025","2,064.82","2,056.65","2,068.07","2,050.28","","0.11%"
"11/10/2025","2,062.50","2,049.85","2,066.18","2,046.65","","0.49%"
"11/07/2025","2,052.43","2,040.35","2,059.73","2,031.60","","0.62%"
"11/06/2025","2,039.78","2,020.27","2,039.78","2,017.85","","0.84%"
"11/05/2025","2,022.83","2,020.93","2,035.95","2,020.28","","-0.13%"
"11/04/2025","2,025.48","2,028.40","2,034.58","2,020.65","","-0.25%"
"11/03/2025","2,030.63","2,022.10","2,035.35","2,021.95","","0.21%"
"10/31/2025","2,026.43","2,028.15","2,029.80","2,014.68","","-0.04%"
"10/30/2025","2,027.30","2,028.55","2,036.73","2,023.65","","0.09%"
"10/29/2025","2,025.43","2,025.80","2,039.23","2,024.20","","-0.15%"
"10/28/2025","2,028.53","2,025.08","2,032.63","2,017.48","","-0.02%"
"10/27/2025","2,028.90","2,018.03","2,029.38","2,015.83","","0.41%"
"10/24/2025","2,020.53","2,015.90","2,025.43","2,012.05","","0.27%"
"10/23/2025","2,015.18","1,996.70","2,017.88","1,995.50","","1.00%"
"10/22/2025","1,995.13","1,992.88","2,001.63","1,991.05","","0.11%"
"10/21/2025","1,993.03","1,990.69","1,999.18","1,985.23","","0.16%"
"10/20/2025","1,989.88","1,975.70","1,995.03","1,973.35","","0.96%"
"10/17/2025","1,970.93","1,967.14","1,986.00","1,967.00","","0.13%"
"10/16/2025","1,968.38","1,983.50","1,993.15","1,963.08","","-0.95%"
"10/15/2025","1,987.18","1,982.30","1,999.18","1,979.90","","0.22%"
