"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2025","25,945.93","25,945.54","26,123.69","25,822.66","2.68B","0.07%"
"11/26/2025","25,928.08","26,046.74","26,136.27","25,907.06","2.56B","0.13%"
"11/25/2025","25,894.55","25,948.90","26,069.22","25,740.54","2.96B","0.69%"
"11/24/2025","25,716.50","25,452.87","25,770.45","25,369.29","4.42B","1.97%"
"11/21/2025","25,220.02","25,460.42","25,483.67","25,178.63","3.96B","-2.38%"
"11/20/2025","25,835.57","25,999.78","26,046.76","25,692.13","2.98B","0.02%"
"11/19/2025","25,830.65","25,954.23","26,045.37","25,742.07","2.89B","-0.38%"
"11/18/2025","25,930.03","26,172.27","26,188.82","25,821.84","3.51B","-1.72%"
"11/17/2025","26,384.28","26,441.70","26,531.80","26,252.36","2.52B","-0.71%"
"11/14/2025","26,572.46","26,660.31","26,881.88","26,535.42","2.81B","-1.85%"
"11/13/2025","27,073.03","26,779.48","27,188.81","26,733.21","3.29B","0.56%"
"11/12/2025","26,922.73","26,754.93","27,016.40","26,739.09","3.44B","0.85%"
"11/11/2025","26,696.41","26,748.09","26,788.43","26,511.25","2.42B","0.18%"
"11/10/2025","26,649.06","26,319.40","26,668.89","26,302.93","3.12B","1.55%"
"11/07/2025","26,241.83","26,350.74","26,371.46","26,167.23","2.70B","-0.92%"
"11/06/2025","26,485.90","26,061.58","26,490.71","26,061.58","2.71B","2.12%"
"11/05/2025","25,935.41","25,701.63","25,980.90","25,496.13","2.77B","-0.07%"
"11/04/2025","25,952.40","26,148.07","26,291.65","25,911.79","3.42B","-0.79%"
"11/03/2025","26,158.36","25,999.17","26,217.12","25,920.27","1.79B","0.97%"
"10/31/2025","25,906.65","26,263.01","26,283.96","25,906.65","3.38B","-1.43%"
"10/30/2025","26,282.69","26,545.92","26,588.89","26,138.79","4.32B","-0.24%"
"10/28/2025","26,346.14","26,508.75","26,519.24","26,245.33","2.86B","-0.33%"
"10/27/2025","26,433.70","26,495.97","26,495.97","26,319.22","3.16B","1.05%"
"10/24/2025","26,160.15","26,177.11","26,239.96","26,063.99","2.59B","0.74%"
"10/23/2025","25,967.98","25,718.53","26,080.84","25,591.66","3.10B","0.72%"
"10/22/2025","25,781.77","25,897.62","25,947.88","25,653.75","2.83B","-0.94%"
"10/21/2025","26,027.55","26,160.24","26,367.35","26,017.72","3.06B","0.65%"
"10/20/2025","25,858.83","25,884.46","25,912.77","25,710.61","2.90B","2.42%"
"10/17/2025","25,247.10","25,851.94","25,859.82","25,145.34","4.01B","-2.48%"
"10/16/2025","25,888.51","25,890.01","26,062.80","25,687.32","3.38B","-0.09%"
"10/15/2025","25,910.60","25,714.89","25,982.21","25,593.45","3.50B","1.84%"
"10/14/2025","25,441.35","25,969.21","26,102.68","25,331.64","4.75B","-1.73%"
