"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2025","4,550.05","4,576.91","4,597.85","4,550.05","208.48K","-0.95%"
"09/25/2025","4,593.49","4,563.98","4,613.95","4,558.84","229.82K","0.60%"
"09/24/2025","4,566.07","4,495.27","4,567.49","4,494.11","220.48K","1.02%"
"09/23/2025","4,519.78","4,536.76","4,560.73","4,459.73","252.83K","-0.06%"
"09/22/2025","4,522.61","4,512.02","4,523.87","4,487.13","196.46K","0.46%"
"09/19/2025","4,501.92","4,499.09","4,533.09","4,491.84","225.04K","0.08%"
"09/18/2025","4,498.11","4,546.03","4,573.83","4,454.99","309.86K","-1.16%"
"09/17/2025","4,551.02","4,517.29","4,556.03","4,503.80","235.72K","0.61%"
"09/16/2025","4,523.34","4,539.92","4,552.42","4,494.79","249.27K","-0.21%"
"09/15/2025","4,533.06","4,534.89","4,566.91","4,522.50","231.89K","0.24%"
"09/12/2025","4,522.00","4,544.59","4,564.67","4,517.79","266.44K","-0.57%"
"09/11/2025","4,548.03","4,438.84","4,548.03","4,427.92","253.26K","2.31%"
"09/10/2025","4,445.36","4,438.30","4,466.63","4,414.59","203.60K","0.21%"
"09/09/2025","4,436.26","4,448.74","4,472.09","4,412.69","221.38K","-0.70%"
"09/08/2025","4,467.57","4,467.17","4,482.76","4,438.07","267.64K","0.16%"
"09/05/2025","4,460.32","4,365.61","4,466.56","4,350.30","249.63K","2.18%"
"09/04/2025","4,365.21","4,461.25","4,465.50","4,327.51","307.94K","-2.12%"
"09/03/2025","4,459.83","4,501.34","4,510.73","4,427.52","254.32K","-0.68%"
"09/02/2025","4,490.45","4,521.98","4,548.89","4,454.42","303.93K","-0.74%"
"09/01/2025","4,523.71","4,516.88","4,528.13","4,487.53","320.37K","0.60%"
"08/29/2025","4,496.76","4,455.80","4,516.84","4,452.36","351.94K","0.74%"
"08/28/2025","4,463.78","4,378.04","4,464.80","4,364.17","296.84K","1.77%"
"08/27/2025","4,386.13","4,458.84","4,494.91","4,386.13","333.13K","-1.49%"
"08/26/2025","4,452.59","4,453.35","4,476.80","4,435.53","270.62K","-0.37%"
"08/25/2025","4,469.22","4,416.29","4,472.65","4,404.78","358.09K","2.08%"
"08/22/2025","4,378.00","4,287.36","4,378.39","4,287.36","290.44K","2.10%"
"08/21/2025","4,288.07","4,284.37","4,308.45","4,273.65","259.03K","0.39%"
"08/20/2025","4,271.40","4,208.40","4,272.15","4,190.56","246.48K","1.14%"
"08/19/2025","4,223.37","4,241.77","4,264.23","4,215.21","250.82K","-0.38%"
"08/18/2025","4,239.41","4,218.25","4,272.96","4,203.42","301.48K","0.88%"
"08/15/2025","4,202.35","4,162.42","4,214.73","4,157.50","261.33K","0.70%"
"08/14/2025","4,173.31","4,179.96","4,220.31","4,165.94","221.10K","-0.08%"
"08/13/2025","4,176.58","4,150.50","4,186.75","4,147.20","213.94K","0.79%"
"08/12/2025","4,143.83","4,123.58","4,153.29","4,121.22","177.29K","0.52%"
"08/11/2025","4,122.51","4,110.29","4,134.25","4,103.60","190.44K","0.43%"
"08/08/2025","4,104.97","4,109.27","4,122.21","4,097.42","173.17K","-0.24%"
"08/07/2025","4,114.67","4,120.28","4,129.74","4,094.82","198.64K","0.03%"
"08/06/2025","4,113.49","4,100.43","4,116.71","4,098.35","176.68K","0.24%"
"08/05/2025","4,103.45","4,080.39","4,106.30","4,075.58","178.85K","0.80%"
"08/04/2025","4,070.70","4,037.94","4,070.70","4,037.94","162.28K","0.39%"
"08/01/2025","4,054.93","4,069.93","4,085.35","4,040.46","196.22K","-0.51%"
"07/31/2025","4,075.59","4,141.56","4,141.82","4,063.67","267.09K","-1.82%"
"07/30/2025","4,151.24","4,148.94","4,185.21","4,127.43","249.85K","-0.02%"
"07/29/2025","4,152.02","4,132.68","4,153.33","4,117.58","230.81K","0.39%"
"07/28/2025","4,135.82","4,128.20","4,146.12","4,112.97","222.76K","0.21%"
"07/25/2025","4,127.16","4,145.32","4,150.50","4,117.80","273.60K","-0.53%"
"07/24/2025","4,149.04","4,116.83","4,152.43","4,111.88","319.63K","0.71%"
"07/23/2025","4,119.77","4,129.15","4,155.68","4,113.91","300.51K","0.02%"
"07/22/2025","4,118.96","4,087.34","4,119.20","4,068.34","257.60K","0.82%"
"07/21/2025","4,085.61","4,069.77","4,086.12","4,063.44","223.27K","0.67%"
"07/18/2025","4,058.55","4,039.87","4,064.64","4,039.32","186.21K","0.60%"
"07/17/2025","4,034.49","4,005.07","4,034.59","4,005.07","161.25K","0.68%"
"07/16/2025","4,007.20","4,019.39","4,027.86","3,993.92","151.03K","-0.30%"
"07/15/2025","4,019.06","4,023.99","4,042.66","3,994.26","191.04K","0.03%"
"07/14/2025","4,017.67","4,021.21","4,034.92","4,017.67","207.92K","0.07%"
"07/11/2025","4,014.81","4,011.47","4,065.94","4,010.11","262.05K","0.12%"
"07/10/2025","4,010.02","3,993.42","4,032.98","3,992.52","209.78K","0.47%"
"07/09/2025","3,991.40","3,997.50","4,016.74","3,987.43","173.29K","-0.18%"
"07/08/2025","3,998.45","3,965.43","4,002.27","3,965.43","156.40K","0.84%"
"07/07/2025","3,965.17","3,977.29","3,979.75","3,956.57","131.14K","-0.43%"
"07/04/2025","3,982.20","3,967.46","4,013.85","3,958.38","157.20K","0.36%"
"07/03/2025","3,968.07","3,949.40","3,971.62","3,945.14","141.00K","0.62%"
"07/02/2025","3,943.68","3,943.32","3,952.14","3,929.70","147.06K","0.02%"
"07/01/2025","3,942.76","3,935.91","3,946.25","3,924.72","128.96K","0.17%"
"06/30/2025","3,936.08","3,920.31","3,940.36","3,911.60","145.17K","0.37%"
"06/27/2025","3,921.76","3,949.79","3,969.26","3,918.20","194.56K","-0.61%"
"06/26/2025","3,946.02","3,953.16","3,964.48","3,945.26","165.32K","-0.35%"
"06/25/2025","3,960.07","3,907.07","3,963.04","3,902.18","187.21K","1.44%"
"06/24/2025","3,904.03","3,862.39","3,914.16","3,862.39","163.66K","1.20%"
"06/23/2025","3,857.90","3,831.17","3,867.59","3,827.08","133.80K","0.29%"
"06/20/2025","3,846.64","3,839.78","3,856.48","3,839.78","118.15K","0.09%"
"06/19/2025","3,843.09","3,870.05","3,872.94","3,834.95","130.28K","-0.82%"
"06/18/2025","3,874.97","3,871.65","3,881.35","3,854.66","127.53K","0.12%"
"06/17/2025","3,870.38","3,875.18","3,880.42","3,860.41","122.34K","-0.09%"
"06/16/2025","3,873.80","3,853.62","3,876.17","3,853.62","137.34K","0.25%"
"06/13/2025","3,864.18","3,881.49","3,889.16","3,853.82","172.54K","-0.72%"
"06/12/2025","3,892.20","3,885.52","3,900.04","3,870.38","134.00K","-0.06%"
"06/11/2025","3,894.63","3,870.67","3,911.61","3,870.67","142.42K","0.75%"
"06/10/2025","3,865.47","3,887.55","3,897.46","3,850.47","145.56K","-0.51%"
"06/09/2025","3,885.25","3,877.80","3,894.65","3,871.99","136.31K","0.29%"
"06/06/2025","3,873.98","3,878.10","3,889.46","3,869.39","110.99K","-0.09%"
"06/05/2025","3,877.56","3,872.64","3,883.13","3,861.27","122.88K","0.23%"
"06/04/2025","3,868.74","3,855.49","3,875.86","3,855.49","116.80K","0.43%"
"06/03/2025","3,852.01","3,833.46","3,863.30","3,832.72","131.40K","0.31%"
"05/30/2025","3,840.23","3,850.49","3,858.61","3,829.25","111.67K","-0.48%"
"05/29/2025","3,858.70","3,838.01","3,869.79","3,831.46","108.47K","0.59%"
"05/28/2025","3,836.24","3,843.07","3,849.74","3,833.96","89.03K","-0.08%"
"05/27/2025","3,839.40","3,857.63","3,865.43","3,834.85","98.57K","-0.54%"
"05/26/2025","3,860.11","3,875.79","3,884.54","3,849.04","109.60K","-0.57%"
"05/23/2025","3,882.27","3,910.37","3,931.55","3,882.27","120.28K","-0.81%"
"05/22/2025","3,913.86","3,912.60","3,923.02","3,903.09","107.60K","-0.06%"
"05/21/2025","3,916.38","3,899.44","3,928.63","3,899.44","109.79K","0.47%"
"05/20/2025","3,898.17","3,883.10","3,911.47","3,881.74","104.89K","0.54%"
"05/19/2025","3,877.15","3,882.57","3,885.59","3,866.57","98.64K","-0.31%"
"05/16/2025","3,889.09","3,898.67","3,903.85","3,874.86","118.41K","-0.46%"
"05/15/2025","3,907.20","3,934.03","3,936.47","3,904.91","138.08K","-0.91%"
"05/14/2025","3,943.21","3,894.84","3,960.52","3,890.65","172.03K","1.21%"
"05/13/2025","3,896.26","3,915.59","3,915.59","3,890.69","147.32K","0.15%"
"05/12/2025","3,890.61","3,866.53","3,890.73","3,859.03","153.33K","1.16%"
"05/09/2025","3,846.16","3,848.62","3,853.66","3,836.53","119.39K","-0.17%"
"05/08/2025","3,852.90","3,820.55","3,867.33","3,816.26","124.96K","0.56%"
"05/07/2025","3,831.63","3,861.58","3,863.68","3,814.99","161.17K","0.61%"
