"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2025","90.70","91.56","91.80","90.61","50.22M","-0.80%"
"03/04/2025","91.43","92.44","92.79","91.26","56.72M","-1.23%"
"03/03/2025","92.57","91.41","92.71","91.37","42.90M","0.15%"
"02/28/2025","92.43","91.85","92.47","91.47","49.39M","1.23%"
"02/27/2025","91.31","91.31","91.79","91.14","53.37M","-0.71%"
"02/26/2025","91.96","91.42","92.06","91.20","32.22M","0.59%"
"02/25/2025","91.42","90.97","91.50","90.80","50.13M","1.72%"
"02/24/2025","89.87","89.33","90.06","89.26","26.22M","0.29%"
"02/21/2025","89.61","88.87","89.93","88.82","46.91M","1.21%"
"02/20/2025","88.54","88.45","88.76","88.45","27.91M","0.37%"
"02/19/2025","88.21","87.95","88.45","87.89","20.58M","0.12%"
"02/18/2025","88.10","88.54","88.84","88.04","29.43M","-1.18%"
"02/14/2025","89.15","89.38","89.68","89.12","27.46M","0.53%"
"02/13/2025","88.68","88.09","88.89","88.07","42.72M","1.66%"
"02/12/2025","87.23","87.29","87.60","86.86","48.54M","-1.36%"
"02/11/2025","88.43","88.53","88.68","88.38","21.51M","-0.64%"
"02/10/2025","89.00","89.26","89.53","88.85","22.74M","-0.30%"
"02/07/2025","89.27","89.24","89.45","88.93","31.17M","-0.65%"
"02/06/2025","89.85","89.86","90.15","89.54","22.51M","-0.04%"
"02/05/2025","89.89","89.45","90.18","89.39","48.33M","1.65%"
"02/04/2025","88.43","87.55","88.45","87.48","33.41M","0.31%"
"02/03/2025","88.16","88.57","89.10","87.80","70.66M","0.46%"
"01/31/2025","87.76","88.38","88.66","87.43","48.81M","-0.66%"
"01/30/2025","88.34","88.41","88.71","88.17","25.09M","0.37%"
"01/29/2025","88.01","88.43","88.61","87.63","25.34M","-0.20%"
"01/28/2025","88.19","87.84","88.20","87.66","25.52M","-0.07%"
"01/27/2025","88.25","88.15","88.43","87.85","42.86M","1.18%"
"01/24/2025","87.22","86.72","87.28","86.60","21.11M","0.45%"
"01/23/2025","86.83","86.64","86.99","86.53","31.95M","-0.78%"
"01/22/2025","87.51","87.87","87.98","87.32","25.28M","-0.52%"
"01/21/2025","87.97","87.89","88.17","87.63","30.55M","0.89%"
"01/17/2025","87.19","87.43","87.48","87.04","29.88M","0.17%"
"01/16/2025","87.04","86.64","87.39","86.28","34.65M","0.32%"
"01/15/2025","86.76","86.69","86.97","86.39","54.12M","1.72%"
"01/14/2025","85.29","85.23","85.36","84.89","33.41M","-0.16%"
"01/13/2025","85.43","85.53","85.66","85.04","33.26M","-0.04%"
"01/10/2025","85.46","85.28","85.85","85.16","47.12M","-0.66%"
"01/08/2025","86.03","85.47","86.20","85.34","44.59M","0.13%"
"01/07/2025","85.92","86.60","86.77","85.79","41.76M","-1.13%"
"01/06/2025","86.90","87.05","87.23","86.67","30.23M","-0.45%"
"01/03/2025","87.29","87.72","87.88","87.18","21.96M","-0.32%"
"01/02/2025","87.57","87.80","88.11","87.21","27.84M","0.27%"
